,Зарплата на місяць,Зарплата на місяць,avg
,min,max,
Посада,,,
Business analyst,200,5000,1551.50
DBA,380,6000,1653.27
Data Scientist / Data Analyst,150,8000,1544.24
Designer,100,4000,1134.16
DevOps,194,10000,2162.69
Director of Engineering / Program Director,1500,34000,5066.36
ERP / CRM,100,6000,1370.83
Game designer,150,6800,1455.28
HR,100,7000,850.28
HTML coder,154,3000,550.99
Junior QA engineer,96,2000,482.77
Junior Software Engineer,75,2600,605.66
Marketing,100,4000,861.28
Product Manager,250,5000,2054.47
Project manager,190,8000,1512.85
QA Tech Lead,430,6000,2684.43
QA engineer,150,2900,1176.70
Research Engineer,114,4000,1099.00
Sales manager,120,2300,635.85
Scrum Master,370,4500,2355.68
Security Specialist,300,4000,1783.25
Senior Project Manager / Program Manager,200,9100,3562.18
Senior QA engineer,400,6000,2385.54
Senior Software Engineer,350,9200,3243.20
Software Engineer,100,7000,1678.63
Support,138,3650,817.34
Sysadmin,90,3000,773.54
System Architect,400,10000,4387.08
Talent Researcher,100,1700,550.56
Team lead,300,7000,2836.33
Technical Lead,500,18000,3664.27
Technical writer,200,3000,1127.89
